[2024-02-14 19:56:08,477] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,522] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,566] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,612] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,663] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,704] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,757] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,797] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,851] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,887] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,934] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:08,968] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(LPZQbsQESxmh1hM1kzb42A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:09,014] INFO [Broker id=0] Leader user-data-0 with topic id Some(zdBZDMjLTiCvJf17znytlw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-02-14 19:56:09,080] INFO [Broker id=0] Finished LeaderAndIsr request in 2479ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-02-14 19:56:09,092] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
